directedBy,Max_Rating,Min_Rating,Avg_Rating,,
Boris Kossmehl,3.33333,3.33333,3.33333,,
Boris Malagurski,3.84615,3.84615,3.84615,,
Boris Mitić,3.25,3.25,3.25,,
Boris Quercia,2.16667,2.16667,2.16667,,
Boris Sagal,3.83333,0,2.157119231,,
Boris Stepantsev,3.875,3.75342,3.813825,,
Boris Tokarev,4.5,3,3.75,,
Boris Wexler,1,1,1,,
Boris von Sychowski,1.70588,1.70588,1.70588,,
Borja Brun,3,3,3,,
Borja Cobeaga,3.03846,2.76667,2.935043333,,
Borja Manso,3.5,3.5,3.5,,
Boudewijn Koole,3.76471,3.16667,3.393793333,,
Bourlem Guerdjou,0,0,0,,
Bozidar Nikolic,3.55556,3.55556,3.55556,,
Bořivoj Zeman,4.375,0,3.095,,
Brad Castillo,0,0,0,,
Brad F. Grinter,2,2,2,,
Brad Faye,3.75,3.75,3.75,,
Brad Gann,2.375,2.375,2.375,,
Brad Garris,1.33333,1.33333,1.33333,,
Brad Helmink,1.25,0,0.625,,
Brad J. Silverman,3.66667,0.5,2.111113333,,
Brad Keller,2.75,0,1.666666667,,
Brad McGann,3.72081,3.72081,3.72081,,
Brad Osborne,2.33333,2.33333,2.33333,,
Brad Raider,0,0,0,,
Brad Silberling,3.39401,2.70067,3.109575714,,
Braden Croft,3.5,3.5,3.5,,
Bradford May,5,0,2.793016,,
Bradley Battersby,2.86486,2.86486,2.86486,,
Bradley Cox,5,5,5,,
Bradley Dorsey,4,4,4,,
Bradley Fowler,1.92857,1.92857,1.92857,,
Bradley Kaplan,3.9,3.9,3.9,,
Bradley King,3.60303,3.60303,3.60303,,
Bradley Liew,0,0,0,,
Bradley R. Swirnoff,3,3,3,,
Bradley Stryker,2.5,2.5,2.5,,
Bradley W. Ragland,0,0,0,,
Bradley Walsh,4,0,2.429415455,,
Brady Hall,1.25,1.25,1.25,,
Brady Kiernan,3.75,3.75,3.75,,
Brady MacKenzie,0,0,0,,
Brahman Turner,1.3,1.3,1.3,,
Brahmanand S. Singh,5,5,5,,
Brandeis Berry,1,1,1,,
Branden Kramer,2.66667,2.66667,2.66667,,
Brando Keoni Bowthorpe,0.5,0.5,0.5,,
Brandon Buczek,0,0,0,,
Brandon Camp,3.18182,2.94318,3.0625,,
Brandon Chesbro and  Michael Thelin,4,4,4,,
Brandon Christopher,2.5,0,1.25,,
Brandon Colvin,0,0,0,,
Brandon Cornett,0.5,0.5,0.5,,
Brandon Dickerson,0,0,0,,
Brandon Loper,4.5,4.5,4.5,,
Brandon Nicholas,0,0,0,,
Brandon Nutt,5,4,4.5,,
Brandon Oldenburg,3.5,3.5,3.5,,
Brandon Scullion,0.5,0.5,0.5,,
Brandon Slagle,4,0,1.981481667,,
Brandon Vietti,3.7002,2.54762,2.8830975,,
Brandon Willer,3,3,3,,
Brandy Yuen,2.5,2.5,2.5,,
Branko Schmidt,3.3125,2.8125,3.0625,,
Brannon Braga,2.52,2.52,2.52,,
Brannon Howse,1.33333,1.33333,1.33333,,
Braz Chediak,3.5,3.5,3.5,,
Brean Cunningham,3,3,3,,
Breck Eisner,3.68531,3.05229,3.310706,,
Breid McLoone,0,0,0,,
Brenda Chapman,1.375,1.375,1.375,,
Brenda Lien,2.33333,2.33333,2.33333,,
Brendan Cowles and  Shane Kuhn,2.73333,2.73333,2.73333,,
Brendan Gabriel Murphy,3,3,3,,
Brendan Gleeson,3.5,3.5,3.5,,
Brendan Guy Murphy,0,0,0,,
Brendan J. Byrne,0,0,0,,
Brendan Kyle Cochrane,0,0,0,,
Brendan Maher,3.75,0,2.401516667,,
Brendan Malloy,3.5,3.16538,3.33269,,
Brendan Muldowney,3.6,2.125,3.02738,,
Brendan Petrizzo,2.5,2.5,2.5,,
Brendan Rudnicki,1.5,1.5,1.5,,
Brendan Spookie Daly,3.5,3.5,3.5,,
Brenden Mertens,3.07143,3.07143,3.07143,,
Brendon Marotta,2.33333,2.33333,2.33333,,
Brendon O'Loughlin,3.375,3.375,3.375,,
Breno Silveira,3.5,3.28261,3.391305,,
Brent Baum,0,0,0,,
Brent Bonacorso,3,2.51163,2.755815,,
Brent Dawes,2,2,2,,
Brent Maddock,2.49672,2.49672,2.49672,,
Brent Shields,4.25,3.88636,4.06818,,
Brent Sterling Nemetz,3.5,0,1.75,,
Brent Young,1.75,1.75,1.75,,
Brent Zacky,3.38235,3.38235,3.38235,,
Bret Lowell and  Josh Lowell and  Cooper Roberts,3.25,3.25,3.25,,
Bret McCormick,2.25,2,2.125,,
Bret Wood,3.1,0,1.8583325,,
Bretaigne Windust,3.5,0,2.62,,
Brett A. Hart,1.75,1.75,1.75,,
Brett Bentman,3.5,0,1.75,,
Brett C. Leonard,3.33333,3.33333,3.33333,,
Brett Donowho,2.9,2,2.5305075,,
Brett Gaylor,3.70588,3.70588,3.70588,,
Brett Harvey,3.77928,3.5,3.6156525,,
Brett Heard,0,0,0,,
Brett Levner,3.5,3.5,3.5,,
Brett Rapkin,3.25,2.25,2.75,,
Brett Ratner,3.56355,2.79408,3.193918,,
Brett Simon,3.5,3.17978,3.33989,,
Brett Story,3.5,3.5,3.5,,
Brett Thompson,3.60989,2,2.804945,,
Brett W. Wagner,0,0,0,,
Brett Weiner,4.25,4.25,4.25,,
Brett Whitcomb,4.375,3.08571,3.727643333,,
Brian A Miller,2.67647,2.13333,2.538631667,,
Brian A. Loschiavo,0,0,0,,
Brian A. Metcalf,3,0,1.71212,,
Brian Ackley,2.5,2.5,2.5,,
Brian Avenet-Bradley,2.25,2.25,2.25,,
Brian Bellinkoff,4.5,4.5,4.5,,
Brian Burns,3,3,3,,
Brian Caunter,3.375,3.375,3.375,,
Brian Cavallaro,1.5,1.5,1.5,,
Brian Clemens,3.14946,3.14946,3.14946,,
Brian Crumlish,0,0,0,,
Brian Cunningham,5,0.5,3.166666667,,
Brian Darwas,2.9,2.9,2.9,,
Brian De Palma,3.93761,2.25,3.058365172,,
Brian De Palma and  Wilford Leach and  Cynthia Munroe,2.3125,2.3125,2.3125,,
Brian DeCubellis,3.29878,3.29878,3.29878,,
Brian Fee,3.16478,3.16478,3.16478,,
Brian Finn,0,0,0,,
Brian Flemming,3.36875,2,2.684375,,
Brian Gianci,3,3,3,,
Brian Gottlieb,2.375,2.375,2.375,,
Brian Grant,2.85714,0,1.42857,,
Brian Hannant,2,2,2,,
Brian Hennigan,4,3.25,3.72619,,
Brian Henson,3.77154,2.52365,3.271315,,
Brian Herzlinger,5,0,2.528935,,
Brian Higgins,1.75,1.75,1.75,,
Brian Horiuchi,2.15,2.15,2.15,,
Brian Ide,0.5,0.5,0.5,,
Brian Ivie,3.77778,3.77778,3.77778,,
Brian James O'Connell,3.07,3.07,3.07,,
Brian Jett,3.625,3.625,3.625,,
Brian Jordan Alvarez,3.45,3.45,3.45,,
Brian Jun,4,3.5,3.75,,
Brian K. Roberts,3.75,0,1.258334,,
Brian Katkin,2,0.5,1.25,,
Brian Kelly,0,0,0,,
Brian King,2.54348,2.54348,2.54348,,
Brian Kirk,3.38571,0,2.207983333,,
Brian Klemesrud,0,0,0,,
Brian Klugman and  Lee Sternthal,3.42583,3.42583,3.42583,,
Brian Knappenberger,3.90052,3.17742,3.489313333,,
Brian Kohne,0,0,0,,
Brian Koppelman and  David Levien,3.0354,2.90232,2.96886,,
Brian Large,0,0,0,,
Brian Larsen,3.25,3.13333,3.191665,,
Brian McCulley,0.5,0.5,0.5,,
Brian McGinn,3.49387,3.49387,3.49387,,
Brian McGuire,5,0,2.5,,
Brian Meece,1.25,1.25,1.25,,
Brian Mills,3.60156,3.60156,3.60156,,
Brian O'Hara,2,2,2,,
Brian O'Malley,3.11628,2.85366,2.98497,,
Brian O'Neill,0,0,0,,
Brian Peck,2.5,2.5,2.5,,
Brian Pelletier,0,0,0,,
Brian Pera,3.5,3.5,3.5,,
Brian Robbins,3.10274,1.85057,2.662261,,
Brian Ronalds,0,0,0,,
Brian Schmidt,0,0,0,,
Brian Scott Lederman,0,0,0,,
Brian Shoaf,3,3,3,,
Brian Sloan,3.15625,3.15625,3.15625,,
Brian Springer,3.58333,0,1.791665,,
Brian Trenchard Smith,2.91935,2.91935,2.91935,,
Brian Ulrich,3.5,3.5,3.5,,
Brian Vance,0,0,0,,
Brian Vernick,2.5,2.5,2.5,,
Brian W. Cook,3.13699,3.13699,3.13699,,
Brian Wiseman,4.5,4.5,4.5,,
Brice Cauvin,2.5,2.5,2.5,,
Brice Mack,3.25,2.5,2.875,,
Bridey Elliott,3.5,3.5,3.5,,
Bridget Smith,0,0,0,,
Brie Larson,2.94578,2.94578,2.94578,,
Brij,0,0,0,,
Brini Amerigo,5,5,5,,
Brinton Bryan,3.16667,3.16667,3.16667,,
Britni West,1.75,1.75,1.75,,
Britt Napier,1.5,1.5,1.5,,
Brittany Andrews,3,3,3,,
Brittany Goodwin,4.5,0,1.5,,
Britton Watkins,0,0,0,,
Brock Humphrey,2.33333,2.33333,2.33333,,
Brock LaBorde,2,2,2,,
Brock Morse,0,0,0,,
Brody Gusar,0,0,0,,
Brogan De Paor,0,0,0,,
Bronwen Hughes,4,2,3.039154,,
Brooke Sebold,2.9,2.9,2.9,,
Bruce A. Block,0,0,0,,
Bruce Baillie,3.75,2.75,3.402778333,,
Bruce Bilson,5,0,2.725162,,
Bruce Brown,3.79676,3.34548,3.627733333,,
Bruce Campbell,2.97328,2.6413,2.80729,,
Bruce Caulk,2.58333,2.58333,2.58333,,
Bruce Davison,1.03125,0,0.515625,,
Bruce Fontaine,0,0,0,,
Bruce Goodison,3.5,3.33333,3.416665,,
Bruce Gowers,3.87293,0,2.275118333,,
Bruce Hurwit,0,0,0,,
Bruce Isacson,0,0,0,,
Bruce Joel Rubin,3.40431,3.40431,3.40431,,
Bruce Kimmel,1.75,1.75,1.75,,
Bruce LaBruce,3,2,2.75,,
Bruce Logan,0,0,0,,
Bruce Malmuth,3.5,2,2.8361425,,
Bruce McFarlane,0,0,0,,
Bruce Neibaur,0,0,0,,
Bruce Nyznik,3.75,3.75,3.75,,
Bruce Parramore,2.5,2.5,2.5,,
Bruce Posner,4,4,4,,
Bruce Ricker,4,3.8,3.9,,
Bruce Sweeney,0,0,0,,
Bruce Vigar,0,0,0,,
Bruce Wagner,3.33333,3.33333,3.33333,,
Bruce Webb,0,0,0,,
Bruce Weber,3.59375,2.8,3.196875,,
Bruce Wemple,3.375,0,1.34375,,
Bruce Wilson,0,0,0,,
Brunello Rondi,3.66667,0,2.053334,,
Bruno Bianchi,2.2,2.2,2.2,,
Bruno Bozzetto,3.66667,0.5,2.7770925,,
Bruno Chiche,2.875,2.875,2.875,,
Bruno Corbucci,5,0,1.703241282,,
Bruno Lavaine,3.5,3.5,3.5,,
Bruno Mattei,4.25,0,1.328167667,,
Bruno Merle,4.25,4.25,4.25,,
Bruno Mourral,0,0,0,,
Bruno Paolinelli,0,0,0,,
Bruno Podalydès,3.5,0,2.563491667,,
Bruno Sarabia,3.8,3.8,3.8,,
Bruno Solo,3,3,3,,
Bruno Stagnaro,2.90909,2.90909,2.90909,,
Bruno VeSota,4,2.85714,3.42857,,
Bruno Zincone,2,2,2,,
Bryan Barber,2.93269,2.93269,2.93269,,
Bryan Bertino,3.12002,1.95312,2.7139925,,
Bryan Binder,3.5,3.5,3.5,,
Bryan Bockbrader,2.375,2.375,2.375,,
Bryan Brewer,1.33333,1.33333,1.33333,,
Bryan Coyne,1,1,1,,
Bryan Ferriter,0,0,0,,
Bryan Forbes,3.75,2.875,3.344837692,,
Bryan Goeres,2.91667,0,1.833332857,,
Bryan Goluboff,3.29167,3.29167,3.29167,,
Bryan Gunnar Cole,2.7,2.7,2.7,,
Bryan Izzard,3.5,3.5,3.5,,
Bryan Johnson,2.35065,2.35065,2.35065,,
Bryan Lefler,3.11538,3.11538,3.11538,,
Bryan Lewis,2.54545,2.54545,2.54545,,
Bryan Norton,2.625,2.625,2.625,,
Bryan Ortiz,2.71875,2.71875,2.71875,,
Bryan Ramirez,3.5,3.5,3.5,,
Bryan Singer,4.27727,2.725,3.361958333,,
Bryan Storkel,5,5,5,,
Bryan Woods,3.12069,3.12069,3.12069,,
Bryce Clark,5,1.5,3.25,,
Bryce Dallas Howard,4.5,4.5,4.5,,
Bryce Olson,5,2.16667,3.583335,,
Bryce Wagoner,3.00467,2.88889,2.94678,,
Bryn Higgins,2.6,0,1.3,,
Bu Wan-Cang,0,0,0,,
Buck Henry,2.5625,2.5625,2.5625,,
Bud Friedgen and  Michael J. Sheridan,3.55752,3.55752,3.55752,,
Bud Greenspan and  Leslie Woodhead,3.5,3.5,3.5,,
Bud Townsend,2.92857,0,1.892856667,,
Bud Yorkin,3.5,0,2.532093333,,
Buddhadeb Dasgupta,2.5,0,1.666666667,,
Buichi Saito,3.72619,2.5,3.113095,,
Bulat Mansurov,3,3,3,,
Burgess Meredith,2.5,2.5,2.5,,
Burny Mattinson,3.60377,3.60377,3.60377,,
Burt Balaban,3.25,2,2.75,,
Burt Balaban and  Stuart Rosenberg,3.25,3.25,3.25,,
Burt Brinckerhoff,4.5,0,2.483332,,
Burt Grinstead,2.5,2.5,2.5,,
Burt Reynolds,3.10995,2.92515,3.023686,,
Burt Topper,2.5,0,0.5,,
Burton L. King,2.66667,2.66667,2.66667,,
Busby Berkeley,3.5566,0,2.23582,,
Buster Keaton and  Clyde Bruckman,4.08803,4.08803,4.08803,,
Buster Keaton and  Donald Crisp,3.79422,3.79422,3.79422,,
Buster Keaton and  Edward F. Cline,3.55137,3.34091,3.44432,,
Buster Keaton and  John G. Blystone,3.79321,3.79321,3.79321,,
Buster Keaton and  Malcolm St. Clair,3.70548,3.42593,3.565705,,
Butch Lukic,4,2.08974,3.04487,,
Buz Wallick,5,5,5,,
Buzz Kulik,3.66,0,2.549350833,,
Buzz Potamkin,2.83333,2.83333,2.83333,,
Byrd McDonald,3.83333,3.83333,3.83333,,
Byron Haskin,3.53637,0,2.49974125,,
Byron Howard,3.8901,3.8901,3.8901,,
Byron Turk,5,5,5,,
Byun Hyuk,3.21429,0,1.607145,,
Byun Young-Joo,3.38095,0,1.960316667,,
Byungwoo Kim,3.525,3.525,3.525,,
Béla Tarr,3.9375,2.75,3.51587,,
Bénédicte Galup and  Michel Ocelot,3.34091,3.34091,3.34091,,
Börkur Sigþórsson,3.25,3.25,3.25,,
Bùi Tuấn Dũng,0,0,0,,
C. B. Harding,3,1.75,2.375,,
C. Blake Evernden,5,5,5,,
C. Courtney Joyner,2.3,2.16667,2.233335,,
C. Fitz,3.5,3.5,3.5,,
C. Jay Cox,3.57229,2.75,3.161145,,
C. Martín Ferrera,0,0,0,,
C.A. Griffith,3,3,3,,
C.B. Harding,3.25325,0,1.9984375,,
C.J. Hunt,3.625,3.625,3.625,,
C.J. Julianus,0,0,0,,
C.J. Wallis,3.31633,3.31633,3.31633,,
C.M. Pennington-Richards,3.5,0,1.75,,
C.M. Talkington,2.99057,2.99057,2.99057,,
C.W. Cressler and  Curt Cressler,2.25,2.25,2.25,,
Cacau Rhoden,2.75,2,2.375,,
Cai Chengjie,3.33333,3.33333,3.33333,,
Caleb Deschanel,2.5,0,1.25,,
Caleb Hystad,0,0,0,,
Calin Peter Netzer,3.75,3.37838,3.56419,,
Calob Robinson,1,1,1,,
Calum Grant and  Joshua Atesh Litle,3.35294,3.35294,3.35294,,
Calvin Reeder,3.71429,3.3,3.507145,,
Cam'ron,0,0,0,,
Cameron Labine,2.16667,0,1.083335,,
Cameron Reilly,4,4,4,,
Cameron Thor,0,0,0,,
Cameron Thrower,3.5,3.5,3.5,,
Camila Freitas,2,2,2,,
Camila Pitanga,2.5,2.5,2.5,,
Camilla Nielsson,4,2.25,3.125,,
Camille Vidal-Naquet,3.5,3.5,3.5,,
Camillo Bazzoni,3.5,2.5,3,,
Camilo Luzuriaga,2.5,2.5,2.5,,
Camilo Vila,3.75,2.25,3,,
Campbell Ex,2.66667,2.66667,2.66667,,
Campbell Scott,3.99402,0,2.7494825,,
Campion Murphy,0,0,0,,
Can Ulkay,3.54762,3.54762,3.54762,,
Candida Brady,3.25,0,1.625,,
Candy Li,0,0,0,,
Caner Özyurtlu,3.5,3,3.25,,
Caolan Robertson,4.5,4.5,4.5,,
Caradog W. James,3.18507,0,1.9199,,
Carey McKenzie,2.5,2.5,2.5,,
Carey Scott,2.625,2.625,2.625,,
Carine Tardieu,3.125,3,3.0625,,
Carl Colpaert,3,0,2.066666,,
Carl Deal,3.63636,3.63636,3.63636,,
Carl Deal and  Tia Lessin,3.43478,3.43478,3.43478,,
Carl Foreman,3,3,3,,
Carl Froelich,0,0,0,,
Carl Hindmarch,2.83333,2.83333,2.83333,,
Carl Hunter,3.35714,3.35714,3.35714,,
Carl Johnston,3,3,3,,
Carl Lerner,3.10784,3.10784,3.10784,,
Carl Medland,1.5,0.5,1,,
Carl Prechezer,3.33957,0,1.669785,,
Carl Reiner,4,2.63684,3.17597375,,
Carl Rinsch,3.04945,3.04945,3.04945,,
Carl Schultz,3.5,2.5,2.924628,,
Carl Strathie,2.79167,2.43333,2.6125,,
Carl T. Evans,5,0,2.5,,
Carl Theodor Dreyer,4.01899,2.5,3.437179333,,
Carl Thibault,0,0,0,,
Carl Tibbetts,2.94578,2.94578,2.94578,,
Carl Zitelmann,0,0,0,,
Carla Albuquerque,2.5,2.5,2.5,,
Carla Camurati,3,3,3,,
Carla Garapedian,3.5,3.5,3.5,,
Carla Simón,3.6875,3.6875,3.6875,,
Carles Bosch and  Josep Maria Domènech,3.75,3.75,3.75,,
Carles Jofre,0,0,0,,
Carles Torrens,3.07,2.78061,2.925305,,
Carlo Ausino,2,2,2,,
Carlo Campogalliani,2.25,0,0.5625,,
Carlo Carlei,3.5,3.02303,3.266272,,
Carlo Carunchio,0,0,0,,
Carlo Cotti,0,0,0,,
Carlo De Rosa,2.875,2.875,2.875,,
Carlo Guillermo Proto,3.5,3.5,3.5,,
Carlo Lizzani,3.6,0,1.779910625,,
Carlo Ludovico Bragaglia,2,0,0.4,,
Carlo Mazzacurati,3.75,0,2.988095714,,
Carlo Rola,2.39286,0.5,1.44643,,
Carlo Zoratti,3.83333,3.83333,3.83333,,
Carlos Ameglio,2.83333,2.83333,2.83333,,
Carlos Andrés Morelli,0,0,0,,
Carlos Arévalo,2.75,2.75,2.75,,
Carlos Atanes,3,3,3,,
Carlos Augusto de Oliveira,2.91667,2.91667,2.91667,,
Carlos Aured,3,2.375,2.6875,,
Carlos Boellinger,0,0,0,,
Carlos Brooks,3.21698,3.16667,3.191825,,
Carlos Caridad Montero,3.25,3.25,3.25,,
Carlos Carrera,3.875,3.36657,3.663856667,,
Carlos César Arbeláez,3.34615,3.34615,3.34615,,
Carlos Diegues,4,2.45833,3.087666,,
Carlos Enrique Taboada,3.21429,2.2,2.761905,,
Carlos Fernández de Vigo,2.5,2.5,2.5,,
Carlos Galettini,4,0.5,1.666666667,,
Carlos Gaviria,3.33333,3.33333,3.33333,,
Carlos Gerstenhauer,0,0,0,,
Carlos González Morantes,0,0,0,,
Carlos Gutiérrez Medrano,2,2,2,,
Carlos Gómez Oliver,4,4,4,,
Carlos Iglesias,3,3,3,,
Carlos Kaimakamian Carrau,2.41667,2.41667,2.41667,,
Carlos Lascano,3.25,3.25,3.25,,
Carlos López Estrada,3.77248,3.77248,3.77248,,
Carlos Mayolo,3.91667,3.91667,3.91667,,
Carlos Nader,3.75,3.75,3.75,,
Carlos Pimentel,1.5,1.5,1.5,,
Carlos Puerto,2.5625,2.5625,2.5625,,
Carlos Saldanha,3.34066,3.08307,3.2178,,
Carlos Sanchez,2.21429,2.21429,2.21429,,
Carlos Schlieper,0,0,0,,
Carlos Scott,0.5,0.5,0.5,,
Carlos Serrano de Osma,0,0,0,,
Carlos Sorín,4,0,2.454546667,,
Carlos Stevens,3.85714,3.85714,3.85714,,
Carlton J. Albright,2.33333,2.33333,2.33333,,
Carmel Winters,4,0,2,,
Carmelo Bene,4.16667,3.16667,3.611113333,,
Carmen Guarini,0,0,0,,
Carmen Losmann,0,0,0,,
Carmen Marron,3.25,2,2.625,,
Carmen Piccini,0,0,0,,
Carol Brandt,3.25,3.25,3.25,,
Carol Dysinger,3.33333,3.33333,3.33333,,
Carol Freeman,2.625,2.625,2.625,,
Carol Gajjar,0,0,0,,
Carol Morley,3.23529,2.80769,2.963043333,,
Carola Fuentes,3.75,3.75,3.75,,
Caroleen Moise,3.2,3.2,3.2,,
Carolina Hellsgård,2.07143,2.07143,2.07143,,
Carolina Sosa,0,0,0,,
Caroline Bacle,5,5,5,,
Caroline Bartleet,3.625,3.625,3.625,,
Caroline Huppert,4,4,4,,
Caroline Martel,4,4,4,,
Caroline Poggi,3,3,3,,
Caroline Suh,3.13636,3,3.06818,,
Carolyn Baker,0.5,0.5,0.5,,
Carolyn Cavallero,0,0,0,,
Carolyn Miller,2.5,2.5,2.5,,
Carolynne Cunningham,0,0,0,,
Carrie Cracknell,0,0,0,,
Carrie Preston,5,2.625,3.8125,,
Carroll Sax,3,3,3,,
Carsten Fiebeler,4.5,3.5,4,,
Carter Mays,3.5,3.5,3.5,,
Cary Hill,0,0,0,,
Cary Medoway,3.05556,0,1.52778,,
Cary Murnion,2.84359,2.45902,2.671383333,,
Casey Pugh,3.33621,3.33621,3.33621,,
Casey Schlosser,0,0,0,,
Casey Walker,2.45,2.45,2.45,,
Casey Wilder Mott,2.5,2.5,2.5,,
Casey Zilbert,4,4,4,,
Casper Kelly,3.7126,3.7126,3.7126,,
Caspian Tredwell-Owen,1,1,1,,
Cassandra Nicolaou,3.83333,3.83333,3.83333,,
Cassie Jaye,3.38462,0,1.128206667,,
Castellano & Pipolo,2,0,1,,
Castille Landon,4,0,2.560606667,,
Castleton Knight,0,0,0,,
Cat Rhinehart,0,0,0,,
Catalina Arroyave Restrepo,0,0,0,,
Catherine Breillat,3.5,0,2.710964286,,
Catherine Castel,2.75,0,1.375,,
Catherine Cyran,2.64286,1.5,2.204054286,,
Catherine Dudley-Rose,0,0,0,,
Catherine Gale,0,0,0,,
Catherine Martin,2.75,2.75,2.75,,
Catherine Morshead,1,0,0.5,,
Catherine Owens and  Mark Pellington,3.52,3.52,3.52,,
Catherine Veaux-Logeat,3,3,3,,
Cathryn Michon,2.4,2.4,2.4,,
Cathy Doubleday,0,0,0,,
Cathy Garcia-Molina,4,0,2.3,,
Cathy Randall,3.1,3.1,3.1,,
Catlin Adams,2,2,2,,
Catti Edfeldt,2.5,2.5,2.5,,
Caytha Jentis,2.75,2.5,2.625,,
Cecil B. DeMille,4,2.08333,3.093567143,,
Cecil M. Hepworth,3.25,2.71429,2.96032,,
Cecilia Miniucchi,2.75,2.75,2.75,,
Cecília Amado,3.6875,3.6875,3.6875,,
Cedric Gibbons and  Jack Conway and  James C. McKay,3.11607,3.11607,3.11607,,
Cedric Jouarie,0,0,0,,
Cedric Nicolas-Troyan,2.98514,2.98514,2.98514,,
Celia Rico Clavellino,2.83333,2.83333,2.83333,,
Celia Rowlson-Hall,2.5,2.5,2.5,,
Celine Danhier,3.5,3.5,3.5,,
Cellin Gluck,2.3,2.3,2.3,,
Celso R. García,3.27778,3.27778,3.27778,,
Cesar Gallardo,3.5,0,1.75,,
Cesare Furesi,3.75,3.75,3.75,,
Cetre Pegues and  Lewis Powell,3.5,3.5,3.5,,
Ceyda Torun,3.76282,3.76282,3.76282,,
Cezary Pazura,2.33333,2.33333,2.33333,,
Cha Sung-duk,3,3,3,,
Chad Allen Black,0.75,0.75,0.75,,
Chad Archibald,2.98077,1.2,2.390728,,
Chad Burns,3.22222,3.22222,3.22222,,
Chad Cohen,3.9,3.9,3.9,,
Chad Crawford Kinkle,2.86567,2.86567,2.86567,,
Chad Dossett,2.46154,2.46154,2.46154,,
Chad Feehan,2.75,2.75,2.75,,
Chad Ferrin,0,0,0,,
Chad Krowchuk,0,0,0,,
Chad L. Scheifele,2.73333,2.73333,2.73333,,
Chad Rook,1.5,1.5,1.5,,
Chad Rosen,3.16667,3.16667,3.16667,,
Chadd Harbold,3.35417,2.5,2.99901,,
Chaim Litewski,4,4,4,,
Chaiyapol J. Poupart,3.25,3.25,3.25,,
Chalerm Wongpim,3,3,3,,
Chan Hing-Kar,3.47619,0,1.15873,,
Chan Wei Lin,4,4,4,,
Chan-Wook Park,3.5963,3.5963,3.5963,,
Chan-wook Park,4.11086,3.41058,3.801424286,,
Chanda Bell,5,5,5,,
Chandler Tuttle,3.27586,3.27586,3.27586,,
Chandrasekaran,0.5,0.5,0.5,,
Chandrasekhar Reddy,0,0,0,,
Chang,3.57143,2.91667,3.18739,,
Chang Cheh,5,0,2.164162439,,
Chang Hyung-yun,3.33333,0,1.666665,,
Chang Il-Ho,0,0,0,,
Chang Jung-Chi,3.66667,3.66667,3.66667,,
Chang Yi,0,0,0,,
Chang-Min Choo,3.46154,3.46154,3.46154,,
Chang-dong Lee,3.86667,3.38889,3.6215775,,
Channing Godfrey Peoples,2.59091,2.59091,2.59091,,
Chano Urueta,3.66667,0,1.833335,,
Chanoch Zeevi,3.5,3.5,3.5,,
Chanon Yingyong,1,1,1,,
Chanya Button,3.86667,2.7,3.283335,,
Chapman Way and  Maclain Way,3.7377,3.7377,3.7377,,
Charis Orchard,0,0,0,,
Charles A. Nichols,3.51461,2.41667,2.898843043,,
Charles B. Pierce,3.5,0,2.20037125,,
Charles Bail,4.5,0,2.709804,,
Charles Barker,2.77027,2.77027,2.77027,,
Charles Brabin and  Charles Vidor,2.92742,2.92742,2.92742,,
Charles Brackett,0,0,0,,
Charles Braverman,3,0,1.944443333,,
Charles Bryant,2.86364,2.86364,2.86364,,
Charles Burmeister,3,2.625,2.8125,,
Charles Burnett,4,0,2.621942222,,
Charles Chauvel,3,2.5,2.75,,
Charles Chu,3.75,3.75,3.75,,
Charles Correll,3.25,0,1.216666,,
Charles Dennis,0,0,0,,
Charles Eames and  Ray Eames,4.06296,4.06296,4.06296,,
Charles F. Haas,4.5,0,1.944443333,,
Charles Frend,4,0,2.737815,,
Charles Gale,0,0,0,,
Charles Grosvenor,3.21951,2.55714,2.86559,,
Charles Guard and  Thomas Guard,3.1655,3.1655,3.1655,,
Charles Guggenheim,3.6,3.6,3.6,,
Charles Haid,4,2.4,3.142645714,,
Charles Hood,3.66667,3.37234,3.519505,,
Charles Huddleston,5,5,5,,
Charles Huguenot van der Linden,1,1,1,,
Charles Jarrot,3.78333,3.78333,3.78333,,
Charles Jarrott,4.5,0,2.394604,,
Charles L Draper,2.3,2.3,2.3,,
Charles L. Gaskill,2.66667,2.66667,2.66667,,
Charles Lane,4,3.7,3.85,,
Charles Lederer,2.3,0,1.15,,
Charles Martin,3.16667,0,1.5,,
Charles Matton,3.5,1.41667,2.458335,,
Charles Mruz,0,0,0,,
Charles Murray,0,0,0,,
Charles Nemes,4,0,2.328125,,
Charles Norton,0,0,0,,
Charles Oliver,3.33333,3.33333,3.33333,,
Charles Randazzo,3.5,3.5,3.5,,
Charles Reisner and  Buster Keaton,3.88105,3.88105,3.88105,,
Charles Robert Carner,4,0,2.261328,,
Charles S. Dubin,3,0,1.1,,
Charles S. Dutton,3.5,1.5,2.666666667,,
Charles Shyer,3.35574,2.69643,2.969281429,,
Charles Swickard,3.05556,3.05556,3.05556,,
Charles T. Kanganis,2.88596,1.93787,2.552386667,,
Charles Tait,2.33333,2.33333,2.33333,,
Charles W. Broun Jr. and  Joel Holt and  Arthur Knight,0,0,0,,
Charles Walters,3.77586,0,2.9381525,,
Charles Wilkinson,0,0,0,,
Charles Williams,3,3,3,,
Charles Winkler,2.42857,1.25,1.983766667,,
Charles de Meaux,0,0,0,,
Charlie Ahearn,3.08333,3.08333,3.08333,,
Charlie Buhler,3,3,3,,
Charlie Chaplin,Chester Conklin,1.5,2.466160588,,
