directedBy,Max_Rating,Min_Rating,Avg_Rating
Crispin Glover,2.3,2.3,2.3
Cristian Bernard,4.5,4.5,4.5
Cristian Nemescu,3.66,3.1,3.38
Cristian Plesh,0,0,0.0
Cristian Solimeno,0,0,0.0
Cristiano Valente,3,3,3.0
Cristina Comencini,3,0,1.55
Cristina Costantini,3.5,3.5,3.5
Cristina Trebbi,3,3,3.0
Cristobal Valderrama,2.75,2.75,2.75
Cruz Angeles,4,0,2.0
Cruz Delgado,1.5,1.5,1.5
Crystal Moselle,3.5,3.42216,3.46108
Curt Geda,3.58878,2.6,3.2450050000000004
"Curt Geda, Steven E. Gordon",3.17227,3.17227,3.17227
Curt Linda,2.33333,2.33333,2.33333
Curt McDowell,2.94444,2.94444,2.94444
Curt Morgan,5,3.375,4.043803333333333
Curt Siodmak,2.2,2.2,2.2
Curt Wiser,2,2,2.0
Curtis Bernhardt,3.57143,0,1.8427296428571427
Curtis Crawford,5,0,1.8301284615384614
Curtis Everitt,0,0,0.0
Curtis Graham,0,0,0.0
Curtis Harrington,3.04054,0,2.0864083333333334
Curtis Johnson,0,0,0.0
Curtis Vowell,2.625,2.625,2.625
Curtis Wehrfritz,2,2,2.0
Cutter Hodierne,2.5,2.5,2.5
Cuyle Carvin,0,0,0.0
Cy Howard,3.40909,0,1.1363633333333334
Cybil Richards,2.125,2.125,2.125
Cynthia Hill,4,4,4.0
Cynthia L. Sears,3.5,3.5,3.5
Cynthia Lowen,1.5,1.5,1.5
Cynthia Mort,3.5,3.5,3.5
Cynthia Sabat,2.5,2.5,2.5
Cynthia Scott,4,3.87931,3.939655
Cynthia Wade,4.5,0,2.25
Cyprien Vial,3,3,3.0
Cyril Legann,0,0,0.0
Cyrus Baetz,0,0,0.0
Cyrus Mirakhor,0,0,0.0
Cyrus Nowrasteh,3.8271,3,3.4423666666666666
Czeslaw Petelski,4.16667,4.16667,4.16667
Cédric Anger,3.3125,0,1.6041666666666667
Cédric Babouche,3.5,3.5,3.5
Cédric Dupire,3.5,3.5,3.5
Cédric Kahn,3.3,2.71429,3.0890214285714284
Cédric Tourbe,3.5,3.5,3.5
César Augusto Acevedo,3.4,3.4,3.4
César Rodrigues,3.6,2.375,3.1027766666666667
Călin Peter Netzer,2.44444,2.44444,2.44444
D. A. Pennebaker,5,3.33333,4.166665
D. Aaron Hunter,3,3,3.0
D. Djajakusuma,2.66667,2.66667,2.66667
D. James Newton,0,0,0.0
D. Kerry Prior,3.15891,3.15891,3.15891
D. R. Hood,3.33333,3.33333,3.33333
D.J. Caruso,3.57527,2.125,3.08115625
D.J. MacHale,2.70833,2.70833,2.70833
D.W. Brown,3.025,3.025,3.025
D.W. Hoppson,0,0,0.0
DJ Pooh,2.5036,0,1.6242166666666666
Daan Jansen,0,0,0.0
Daan Veldhuizen,2.5,2.5,2.5
Dado Martino,0,0,0.0
Dafna Yachin,2.5,2.5,2.5
Dagmar Schultz,4.25,4.25,4.25
Dagur Kári,3.82979,3.50877,3.6619824999999997
Daihachi Yoshida,3.66667,0,2.857994285714286
Dain Said,3,3,3.0
Daina Reid,4.75,2.5,3.625
Daisaku Kimura,3,0,1.75
Daisaku Shirakawa,2.5,2.5,2.5
Daishi Matsunaga,3,3,3.0
Daisuke Matsuda,0,0,0.0
Daisuke Miura,3.625,2.75,3.0416666666666665
Daisuke Nishio,3.14375,2,2.88347
Daisuke Yamanouchi,1.5,1.5,1.5
Dale Berry,1.75,1.75,1.75
Dale Fabrigar,5,1.78947,3.0964899999999997
Dale G. Bradley,2.34375,2.34375,2.34375
Dale Heslip,3.85714,3.85714,3.85714
Dale Rosenbloom,3.21359,3.21359,3.21359
Dale Schott,2.17308,2.17308,2.17308
Dalei Zhang,2.75,2.75,2.75
Dalibor Matanić,3.76923,2,2.8256419999999998
Dallas Jackson,2.5,1.57143,2.035715
Dallas Jenkins,3.55556,2.95833,3.1712966666666667
Dallas King,0,0,0.0
Dallas Richard Hallam,2.35417,1.83333,2.09375
Dalton Trumbo,3.69271,3.69271,3.69271
Damian Klaus,2.33333,2.33333,2.33333
Damian Lee,4,0,2.1176984615384615
Damian Nieman,3.22664,3.22664,3.22664
Damian Pettigrew,3.15909,3.15909,3.15909
Damian Voerg,5,5,5.0
Damiano D'Innocenzo,3.42857,3.22222,3.3253950000000003
Damien Lay,5,5,5.0
Damien Manivel,3,2,2.5
Damien Odoul,3.5,1.875,2.6875
Damien Wayans,1.55319,1.55319,1.55319
Daming Chen,2.99074,2.99074,2.99074
Damir Lukacevic,3.47826,3.47826,3.47826
Damián Romay,2.6875,0,1.1979166666666667
Damián Szifrón,4.107,3.61224,3.85962
Damjan Kozole,3.25,3.2,3.225
Damon Cardasis,3.5,3.5,3.5
Damon Gameau,3.57619,3.4,3.488095
Damon Maulucci,5,5,5.0
Damon Packard,5,1.5,3.475
Damon Russell,3.46552,3,3.23276
Damon Thomas,2.85,2.85,2.85
Dan Abdo,0.5,0.5,0.5
Dan Allen,2,2,2.0
Dan Berger,3.3,3.3,3.3
Dan Brownlie,0,0,0.0
Dan Bush,3.83333,2.28358,3.0389700000000004
Dan Carracino,3.5,3.5,3.5
Dan Castle,3.125,3.125,3.125
Dan Channing-Williams,2.82927,2.82927,2.82927
Dan Child,3.88462,3.88462,3.88462
Dan Chinander,3.5,3.5,3.5
Dan Chisu,4.5,2.33333,3.416665
Dan Clark,2.4,2.4,2.4
Dan Cutforth,3.25,3.25,3.25
"Dan Cutforth, Jane Lipsitz",3.10256,3.10256,3.10256
Dan Eberle,5,5,5.0
Dan Eckman,3.31737,3.31737,3.31737
Dan Elswick,0,0,0.0
Dan Finkel,0,0,0.0
Dan Fogler,1.83333,0,0.916665
Dan Forrer,3.33333,3.33333,3.33333
Dan Fraga,2.72727,2.72727,2.72727
Dan Frank,0,0,0.0
Dan Friedkin,3.5,3.5,3.5
Dan Gabriel,4,4,4.0
Dan Gilroy,3.96818,2.75426,3.3126233333333333
Dan Glaser,3,3,3.0
Dan Gregor,2.6,2.6,2.6
Dan Hartley,3.75,3.75,3.75
Dan Hewitt Owens,0.5,0.5,0.5
Dan Hunter,0.5,0.5,0.5
"Dan Jury, Mark Jury",3.83333,3.83333,3.83333
Dan Kavanaugh,3.5,3.5,3.5
Dan Klores,3.86076,3.86076,3.86076
"Dan Klores, Fisher Stevens",3.47647,3.47647,3.47647
Dan Krauss,4,2.75,3.420155
Dan Kwan,3.48246,3.48246,3.48246
Dan Mazer,3.06946,2.96277,3.016115
Dan McCormack,0,0,0.0
Dan Milner,2,1.92857,1.9642849999999998
Dan Mintz,3.5,3.5,3.5
Dan Mirvish,3.75,3.125,3.4375
Dan Mudford,0,0,0.0
Dan Murdoch,3,3,3.0
Dan O'Bannon,3.45052,2.94828,3.1994
"Dan Ollman, Sarah Price, Chris Smith",3.58419,3.58419,3.58419
Dan Poole,0,0,0.0
Dan Pritzker,1.5,1.5,1.5
Dan Reed,4,2.25,3.21407
Dan Rickard,3.25,3.25,3.25
Dan Shadur,0.5,0,0.25
Dan Sickles,2.5,2.5,2.5
Dan Stone,3.6,0,1.8
Dan Thompson,3.21875,3.21875,3.21875
Dan Turgeman,0,0,0.0
Dan Turner,0,0,0.0
Dan Villegas,3.5,1.93548,2.85887
Dan Walton,2.5,2.5,2.5
Dan Wolman,4.5,0,2.25
Dan Zukovic,4.25,4.25,4.25
Dana Adam Shapiro,3.25,2.53571,2.892855
Dana Berry,5,5,5.0
Dana Brown,3.78514,0,2.6952425
Dana Celeste Robinson,3,3,3.0
Dana Doron,4,4,4.0
Dana Heinz Perry,3.33333,3.33333,3.33333
Dana Lustig,3.16901,0,1.95047
Dana Nachman,3.83333,0,2.651785
Dana Ranga,3.25,3.25,3.25
Dana Rotberg,3.5,3.5,3.5
Dana Ziyasheva,0.5,0.5,0.5
Dane Cannon,2.57692,2.57692,2.57692
Dane Clark,0,0,0.0
Dane Komljen,1,1,1.0
Danfung Dennis,3.375,3.375,3.375
Dang Di Phan,4.5,3,3.75
Dang Nhat Minh,3.75,3.75,3.75
Dani Levy,3.45833,2.79412,3.1535933333333332
Dani Menkin,0,0,0.0
Dani de la Orden,3,2,2.7083333333333335
Dani de la Torre,3.29688,2.96429,3.130585
Daniel Adams,3.6,0,2.3111099999999998
Daniel Agdag,3.7,3.7,3.7
Daniel Anker,3.5,3.5,3.5
Daniel Arasanz,2.75,2.75,2.75
Daniel Armstrong,0.5,0.5,0.5
Daniel Augusto,0,0,0.0
"Daniel B. Gold, Judith Helfand",3.33333,3.33333,3.33333
Daniel Baar,2.375,2.375,2.375
Daniel Barber,3.47025,2.92105,3.19565
Daniel Barnz,3.65238,2.93462,3.275025
Daniel Benmayor,3.5,2.7625,3.0160700000000005
Daniel Bollag,4.25,4.25,4.25
Daniel Borgman,3.5,3.5,3.5
Daniel Bourla,3,3,3.0
Daniel Burman,3.4,2.7,3.11488125
Daniel Campbell,3,3,3.0
Daniel Castro Zimbrón,0,0,0.0
Daniel Chuba,3.53333,3.53333,3.53333
Daniel Cockburn,3.75,3.75,3.75
Daniel D'Or,3.75,3.75,3.75
Daniel Dencik,3.08333,2,2.541665
Daniel DiMarco,2.58333,2.58333,2.58333
Daniel DiMauro,3.57368,3.57368,3.57368
Daniel Duran,3.47222,3.47222,3.47222
Daniel Duval,0,0,0.0
Daniel Emeke Oriahi,3.6,0,1.8
Daniel Emery Taylor,0,0,0.0
Daniel Espinosa,3.43333,3.00929,3.2116433333333334
Daniel Farrands,3.85484,1.53571,2.713666
"Daniel Farrands, Andrew Kasch",3.72222,3.72222,3.72222
Daniel Filho,3.2,2.85714,3.0101175
Daniel Fridell,2.53846,0,1.4493580000000001
Daniel Gilboy,1.75,1,1.375
Daniel Gillies,3.5,3.5,3.5
Daniel Goldberg,2.49333,2.49333,2.49333
Daniel Gordon,4.16667,3.5,3.9059524999999997
Daniel Griffith,3.75,0,1.875
Daniel Grove,4,4,4.0
Daniel Guzmán,3.21429,3.21429,3.21429
Daniel H. Torrado,1.375,1.375,1.375
Daniel Harrich,0,0,0.0
Daniel Hoesl,3.16667,3.16667,3.16667
Daniel Hsia,2.75,2.75,2.75
Daniel J. Gillin,0,0,0.0
Daniel Junge,3,0,1.5
"Daniel Junge, Sharmeen Obaid-Chinoy",3.73077,3.73077,3.73077
Daniel Kokotajlo,3.69444,3.69444,3.69444
Daniel Kontur,3,3,3.0
Daniel Kooman,0,0,0.0
Daniel Krige,2.6875,2,2.34375
Daniel Laabs,0,0,0.0
Daniel Lazo,3.42857,3.42857,3.42857
Daniel Lind Lagerlöf,3.5,1.5,2.50926
"Daniel Lindsay, T.J. Martin",3.81977,3.81977,3.81977
Daniel Lopatin,3.5,3.5,3.5
Daniel Lusko,2.25,0,1.0625
Daniel Mann,3.56731,0,2.7767679999999997
Daniel Maze,2.81818,2.81818,2.81818
Daniel McCabe,4.16667,3.54545,3.8560600000000003
"Daniel McCabe, Jeremy Marre, John J. Valadez, Adriana Bosch",5,5,5.0
Daniel McNicoll,3.5,3.5,3.5
Daniel Miller,3.5,3.5,3.5
Daniel Minahan,3.57225,3.56934,3.570795
Daniel Monzón,3.74768,3.07895,3.4107275
Daniel Mooney,3.5,3.5,3.5
Daniel Murphy,0,0,0.0
Daniel Myrick,2.85714,1.5,2.3782625
Daniel Nettheim,3.42297,3.42297,3.42297
Daniel Nocke,2.75,2.75,2.75
Daniel Percival,3.375,3.21429,3.294645
Daniel Petrie,4,0,2.2915307407407406
"Daniel Petrie, Jr.",3.75,0,1.25
Daniel Poliner,4.5,4.5,4.5
Daniel Ragussis,3.30926,3.30926,3.30926
Daniel Ramos,2.5,2.5,2.5
Daniel Raskov,4,4,4.0
Daniel Ray,2.57143,2.57143,2.57143
Daniel Rezende,3.71622,2.27273,2.994475
Daniel Ringey,3.5,0,1.6666666666666667
Daniel Rintz,0,0,0.0
Daniel Robbins,2.85,1.94444,2.39722
Daniel Roher,3.66667,3.66667,3.66667
Daniel Ross,4,4,4.0
Daniel Schweizer,3.83333,3.83333,3.83333
Daniel Simpson,1.3,0.5,0.9
Daniel Snyder,3.625,3.625,3.625
Daniel Stamm,3.26829,2.78125,3.0783650000000002
Daniel Stern,2.76758,2.76758,2.76758
Daniel Stine,1.75,1.75,1.75
Daniel Tenenbaum,0.75,0.75,0.75
Daniel Vance,2,2,2.0
Daniel Waters,3.08108,2.75806,2.91957
Daniel Woltosz,1.6,1.6,1.6
Daniel Young,3.5,3.5,3.5
Daniel Yu,3,3,3.0
Daniel Zelik Berk,2.78947,2.05,2.419735
Daniela Féjerman,3.1,2.75,2.925
Daniela Goggi,3.5,3.5,3.5
"Daniele Anastasion, Eric Strauss",3.75,3.75,3.75
Daniele Ciprì,4,1.75,3.3375
Daniele Luchetti,3.54348,2.08333,3.13470875
Daniele Misischia,2.64286,0,1.32143
Daniele Pettinari,0,0,0.0
Daniele Rugo,0,0,0.0
Danielle Arbid,2.625,2.625,2.625
Danielle Lessovitz,3.5,3.5,3.5
Daniil Khrabrovitsky,2.95455,2.95455,2.95455
Danila Kozlovsky,3.36667,3.36667,3.36667
Danilo Šerbedžija,3,3,3.0
Danis Tanović,3.5,0,1.8940000000000001
Danishka Esterhazy,3.5,2.01724,2.847853333333333
Danièle Huillet,4.25,3.28571,3.767855
"Danièle Huillet, Jean-Marie Straub",3.66667,2.77778,3.2863775
Danny A. Abeckaser,5,0,2.61111
Danny Antonucci,3.75,3.75,3.75
Danny Bilson,2.44118,2.33929,2.390235
"Danny Boyle, Loveleen Tandan",3.83172,3.83172,3.83172
Danny Buday,1.5,0,0.375
"Danny Cannon, Chris Cunningham, Lynn Fox, Michel Gondry, Eiko Ishioka, Spike Jonze, Nick Knight, John Kricfalusi, Vinoodh Matadin, Alexander McQueen, Jean-Baptiste Mondino, Sophie Muller, Stephane Sednaoui, Inez van Lamsweerde, Paul White",3.77083,3.77083,3.77083
Danny Carrales,4.5,4.5,4.5
Danny Daneau,3.5,3.5,3.5
Danny Deprez,3,2.75,2.875
Danny Glover,0,0,0.0
Danny J. Boyle,2.5,0,0.875
Danny Kuchuck,0,0,0.0
Danny Lee Sau-Yin,3,0,1.5
Danny Lerner,3.6,0,1.9728536363636364
Danny Mulheron,4.5,3.25,3.875
Danny O'Connor,3.76471,3.76471,3.76471
Danny Pang,3,0,1.886666
Danny Sangra,3.5,3.5,3.5
Danny Steinmann,3.25,2.07107,2.709963333333333
Dano Johnson,3.44444,0,1.72222
Dante Ariola,2.61538,2.61538,2.61538
Dante Aubain,1,1,1.0
Dante Desarthe,3.1875,3,3.09375
Dante Tomaselli,0,0,0.0
Dante Wyatt,0,0,0.0
Dany Draven,2.44444,2.44444,2.44444
Daphna Kastner,3.08,3.08,3.08
Daphne Matziaraki,4.125,4.125,4.125
Daphne McWilliams,0,0,0.0
Dara Harper,0,0,0.0
Darezhan Omirbayev,3.5,3.25,3.4166666666666665
Daric Gates,3,3,3.0
Daric Loo,5,5,5.0
Darin Beckstead,3.5,3.5,3.5
Darin Scott,2.7,1.33333,1.9933028571428573
Dario Juričan,5,5,5.0
Dario Piana,3.17063,2.20833,2.68948
Darisha J. Beresford,3.75,3.75,3.75
Darius Marder,3.7007,3.7007,3.7007
Dariusz Gajewski,3.5,2,2.75
Darko Bajić,5,4,4.5
Darko Lungulov,2.83333,2.83333,2.83333
Darko Mitrevski,4.41667,3.25,3.833335
"Darko Mitrevski, Aleksandar Popovski",2.65385,2.65385,2.65385
Darla Rae,0,0,0.0
Darnell Martin,4.11111,0,2.4348457142857143
Darragh Byrne,3.25,3.25,3.25
Darrell Roodt,3.64647,1,2.68929
"Darrell Rooney, Jeannine Roussel",2.90141,2.90141,2.90141
Darren Aronofsky,3.99298,2.72235,3.592727142857143
Darren Ashton,3,3,3.0
Darren Cavanagh,0,0,0.0
Darren Doherty,0,0,0.0
Darren Fisher,2,2,2.0
Darren Grant,3.11991,2.58333,2.8661966666666667
Darren McGavin,0,0,0.0
Darryl McCane,0,0,0.0
Darryl Roberts,3.9,3,3.45
Darya Charusha,2.5,2.5,2.5
Daryl Duke,3.63636,0,2.7156566666666664
Daryl Goodrich,3.41667,3.41667,3.41667
Daryl Hannah,2,2,2.0
Daryn Tufts,3.10714,0.75,1.92857
Dasaradh,2.75,2.75,2.75
Dava Whisenant,3.46154,3.46154,3.46154
"Dave Brain, Kent Butterworth, Jeff Hale, Norm McCabe, Dan Thompson, John Walker, Sam Weiss",3.32609,3.32609,3.32609
Dave Bullock,3.39189,3.39189,3.39189
"Dave Fleischer, Shamus Culhane",3,3,3.0
Dave Flocker,1,1,1.0
Dave Foley,3.5,3.08333,3.291665
Dave Franco,2.79375,2.79375,2.79375
Dave Green,2.95076,2.77464,2.8627000000000002
Dave Herman,0,0,0.0
Dave Jackson,3.21429,3.21429,3.21429
Dave Kehr,2.5,2.5,2.5
Dave LaMattina,3.69697,3.69697,3.69697
Dave McCabe,0,0,0.0
Dave Meyers,2.86681,2.24074,2.553775
Dave Moran,3.6,3.6,3.6
Dave Mossop,4.25,4.25,4.25
Dave Parker,5,0,1.871112
Dave Payne,2.88514,0,1.8310075000000001
Dave Powers,0,0,0.0
Dave Rodriguez,5,3,4.0
Dave Schram,4.25,2.75,3.553846
Dave Schwep,2.5,2.5,2.5
Dave Tynan,4,4,4.0
Dave Unwin,3.7,3.5,3.6
Dave Wascavage,2.41667,2.41667,2.41667
Dave Wilson,2.78884,2.78884,2.78884
Davey Porter,2,2,2.0
David 'Tosh' Gitonga,3.75,3.75,3.75
David A. Armstrong,3.5,2.78448,3.14224
David A. Oster,3.5,3.5,3.5
David A. Stewart,0,0,0.0
David A. Weiner,3.5625,3.5625,3.5625
David Acomba,2.5,2.5,2.5
David Albala,2.66667,2.66667,2.66667
"David Alexanian,Russ Malkin",4.04839,4.04839,4.04839
"David Andalman, Mariko Munro",3.5,3.5,3.5
David Anderson,2.8,2.8,2.8
David Anspaugh,3.84282,0,2.28611375
David Attenborough,4.125,4.125,4.125
David Au,3.57143,3.57143,3.57143
David Auburn,3.14815,3.14815,3.14815
David Austin,3.5,3.5,3.5
David Ayer,3.79786,2.60811,3.13018625
David Barker,2.93333,2.93333,2.93333
David Barras,0,0,0.0
David Batra,1.3125,1.3125,1.3125
David Beaird,3.42857,0,2.21064
David Benullo,2.875,0,0.9583333333333334
David Bernet,2.83333,2.83333,2.83333
David Berry,2.85,2.85,2.85
David Bickerstaff,0,0,0.0
David Bispham,1,1,1.0
David Blaine,4,3.5,3.75
David Blair,5,0,2.197128181818182
David Bolt,0,0,0.0
David Bond,3.5,3.5,3.5
"David Bond, Melinda McDougall",2.625,2.625,2.625
David Borenstein,0,0,0.0
David Bowers,3.24219,3.09815,3.1519066666666666
"David Bowers, Sam Fell",3.24578,3.24578,3.24578
David Boyd,3,3,3.0
David Bradley,3,2,2.3333333333333335
David Breashears,3.88445,3.88445,3.88445
David Breschel,4,4,4.0
David Briggs,3.8,3.5,3.6873
David Brooks,2.5121,0,1.25605
David Brundige,0.5,0.5,0.5
David Burris,3.625,3.625,3.625
David Burton,3.75,3,3.375
David Burton Morris,3.16667,0,1.4969624999999998
David Byars,4,3.25,3.625
David C. Johnson,1.5,1.5,1.5
David C. Thomas,3.75,3.75,3.75
David Campbell,2.52,2.52,2.52
David Carson,3.7,0,2.470015
"David Carson, Herbert Wise",3.87814,3.87814,3.87814
David Cave,2.76923,2.76923,2.76923
David Charhon,2.66667,2.54545,2.6060600000000003
David Cherkasskiy,4.05034,2.85,3.6813350000000002
David Chirchirillo,2.9,2.9,2.9
David Cholewa,2.3,2.3,2.3
David Christensen,0,0,0.0
David Christiaan,3.375,3.375,3.375
David Chuang,2,2,2.0
David Chung,4.25,3.33333,3.86111
David Cohen,0,0,0.0
David Cronenberg,3.81679,2.41667,3.2595895652173907
David Cronenberg,2.70434,2.70434,2.70434
David Dai,0,0,0.0
David Daniel,4.16667,0,2.083335
David DeBartolomé,2.30645,2.30645,2.30645
David DeCoteau,5,0,1.8380006166666665
David DeFalco,2.38095,1.85714,2.119045
David Delrieux,3.33333,3.33333,3.33333
David Denneen,3.1875,3.1875,3.1875
David Deschamps,3.5,3.5,3.5
David Dietl,3.16667,0,1.583335
David Dinetz,0.5,0.5,0.5
David Dobkin,3.50075,2.61758,3.179817142857143
David Dodson,3.13889,0,1.569445
David Douglas,3.5,0,2.1699883333333334
David Drury,3.75,0,2.20948
David Dunn Jr.,0.5,0.5,0.5
"David Dworsky, Victor Köhler",3.91667,3.91667,3.91667
David E. Talbert,2.84483,2.49324,2.7110075
David Earnhardt,3.66667,3.66667,3.66667
David Elliott,4,4,4.0
David Ellis,3.25,3.25,3.25
David Esbjornson,0,0,0.0
David Evans,3.33333,3.33333,3.33333
David Fairhead,5,3.4,4.01212
David Fairhurst,4,4,4.0
David Farr,3.17857,3.17857,3.17857
David Feiss,2.47297,2.47297,2.47297
David Fernández de Castro,0,0,0.0
David Field,3.375,3.375,3.375
David Fincher,4.23547,3.11434,3.7173490909090914
David Findlay,3,3,3.0
David Fisher,2.75,2.7,2.725
David Flamholc,2,2,2.0
David Flores,2.16667,0.75,1.75
"David Foenkinos, Stéphane Foenkinos",3.46739,3.46739,3.46739
David France,3.85294,3.46429,3.705743333333333
David Frankel,3.66279,3.02329,3.3043728571428574
David Frazee,0,0,0.0
David Freyne,3.73214,2.65217,3.1921549999999996
David Färdmar,0,0,0.0
David G. Hillier,0.5,0.5,0.5
David Gebroe,2,2,2.0
David Gidali,2.5,2.5,2.5
David Gilbank,4,4,4.0
David Giles,4.5,3.5,4.0
David Goldsmith,2,2,2.0
"David Greene, James Hill",5,5,5.0
"David Greenwalt, Aaron Russo",2.47872,2.47872,2.47872
David Griffith,0,0,0.0
David Grohl,3.74473,3.74473,3.74473
David Grotell,3.33333,3.33333,3.33333
David Grovic,2.68421,2.68421,2.68421
David Grubin,3.625,0,2.683334
David Gutnik,0,0,0.0
David Hand,4,2.83333,3.217595714285714
David Hartwell,1.25,1.25,1.25
David Hayter,2.4359,2.4359,2.4359
David Heffernan,3.5,3.5,3.5
David Hemmings,4,0,2.6770833333333335
David Henrie,0,0,0.0
David Hess,2.375,2.375,2.375
David Hewlett,3.1375,2.83333,2.985415
David Hicks,5,5,5.0
David Hickson,3.5625,3.5625,3.5625
David Higby,3.5,3,3.331845
David Hilberman,3.1,2.72222,2.91111
David Hinton,3.8,3.5,3.65
David Holbrooke,4.33333,4.33333,4.33333
David Hollander,3.04545,3.04545,3.04545
David Holroyd,2.44118,2.44118,2.44118
David Horn,0,0,0.0
David Huey,0,0,0.0
David Hugh Jones,4,3.07143,3.558664285714286
David Hughes,5,5,5.0
David I. Frazer,0.5,0.5,0.5
David I. Strasser,5,0,2.5
David J. Burke,2.52062,2.52062,2.52062
David J. Espinosa,2.83333,0,1.416665
David J. Francis,1,1,1.0
David J. Hohl,0.5,0.5,0.5
David J. Stern,0,0,0.0
David Jackson,5,0,2.1737776923076924
David Jacobson,3.06316,2.125,2.591623333333333
"David Jeffery, Philip Carr Neel",3.2,3.2,3.2
David John Swajeski,0,0,0.0
David Jung,3,3,3.0
David Keating,3.07377,2.11111,2.6534633333333333
David Kendall,3.06731,3.06731,3.06731
David Kenny,3,3,3.0
David Koepp,3.50152,2.69048,3.1127728571428572
David Korn-Brzoza,4.5,3.75,4.083333333333333
David Krentz,3.1,3.1,3.1
David Kyle,2.25,2.25,2.25
David L. Bushell,4.16667,4.16667,4.16667
David L. Corley,3,1,2.0
David L. Hewitt,2.16667,0,1.3229175
David Lam,4,0,1.5
David Lambert,3.19231,0,1.5641033333333334
David Langlitz,2,2,2.0
"David Leaf, John Scheinfeld",3.56763,3.56763,3.56763
David Lean,4.11576,3.07143,3.6665319999999997
David Lee,4,4,4.0
David Lee Fisher,3.22727,3.22727,3.22727
David Leitch,3.7948,3.08661,3.4231299999999996
"David Leitch, Chad Stahelski",3.8375,3.8375,3.8375
David Leland,3.77374,1.5,2.9381950000000003
David Leveaux,3.6791,3.6791,3.6791
David Lewandowski,3.25,3.25,3.25
David Lickley,3.58824,3.58824,3.58824
David Loeb Weiss,4.5,4.5,4.5
David Lowell Rich,5,0,1.91713625
David Lowery,3.51904,0,2.7552871428571426
David M. Altrogge,3.64286,3.57143,3.607145
David M. Evans,3.8,0,2.1295063636363634
David M. Reynolds,0,0,0.0
David M. Robertson,1.5,1.5,1.5
David MacDonald,3.2,0,2.2770200000000003
David Macián,0,0,0.0
David Mackay,3.75,0,2.497376
David Madden,2.75,2.75,2.75
David Maddox,3.04545,3.04545,3.04545
David Mankey,0.5,0.5,0.5
David Maquiling,2.73684,2.73684,2.73684
David Marconi,3.25,2.5,2.875
David Martín Porras,2.5,2.27778,2.38889
David McCracken,0,0,0.0
David McIlvride,0,0,0.0
David McNally,2.70941,1.92091,2.31516
David Menkes,2.16667,2.16667,2.16667
David Michael Conley,2.16667,2.16667,2.16667
David Michôd,3.67869,2.99118,3.3876475
David Miller,3.79221,0,2.2560623809523808
David Miranda-Hardy,3,3,3.0
David Mirkin,3.00686,2.94007,2.973465
David Modigliani,3.5,3.5,3.5
"David Molina, Terry Shakespeare",2.61538,2.16667,2.3625366666666667
David Moore,2.75,0,1.375
David Moragas,0.833333,0.833333,0.833333
David Moreau,3.53226,2.75,3.14113
"David Morris, Jacqui Morris",3.90909,3.90909,3.90909
David Mortin,3,3,3.0
David Morton,5,5,5.0
David Moscow,3.5,3.5,3.5
David Mrnka,3.33333,3.33333,3.33333
David Mun,3.125,3.125,3.125
David Munro,4.16667,0,2.76389
David Muñoz,2.83333,2.83333,2.83333
"David Nerlich, Andrew Traucki",3.18132,3.18132,3.18132
David Neves,2.5,2.5,2.5
"David Nixon, Patrick Doughtie",3.26,3.26,3.26
David O'Reilly,3.78571,2.25,2.92857
David Odell,1.75,1.75,1.75
David Oelhoffen,3.77907,2.75,3.264535
David Oliveras,2.75,2.75,2.75
David Ondricek,3.60294,3.60294,3.60294
David Ondříček,3.83333,2.75,3.31349
David Oyelowo,1.5,1.5,1.5
David Palmieri,5,0,2.0
"David Pastor, Àlex Pastor",3.06081,3.06081,3.06081
David Paul Meyer,4.25,3.16667,3.642908333333333
David Paulsen,2.6875,1.77778,2.23264
David Pinillos,3.75,3.75,3.75
David Presley,2.43333,2.43333,2.43333
David Price,2.18056,1.92694,2.05375
David Pujol,4,4,4.0
David R. Ellis,3.07793,1.83871,2.6228414285714288
David R. Higgins,5,5,5.0
David Rebordão,2.8,2.8,2.8
"David Redmon, Ashley Sabin",3.18293,2.5,2.841465
David Ren,2.59091,2.59091,2.59091
David Richards,0,0,0.0
David Ridgen,3.5,3.5,3.5
David Riker,3.22561,3,3.112805
David Rimmer,4,3.75,3.9166666666666665
David Robert Mitchell,3.63346,2.98039,3.3082066666666665
David Rocksavage,2.86364,0,1.43182
David Romero,2.04167,2.04167,2.04167
David Rountree,2,2,2.0
David Roux,3.5,3.5,3.5
David Rubin,0.5,0.5,0.5
David Russo,3.125,3.125,3.125
David Ryan Keith,4.07143,0,2.0900800000000004
David S. Cass Sr.,5,0,2.75049
David S. Goyer,3.14179,2.45069,2.8194524999999997
David S. Marfield,2.33333,2.33333,2.33333
David Salle,3.14286,3.14286,3.14286
David Sampliner,3.15,3.15,3.15
David Sandberg,3.60746,0,1.80373
David Sauers,0,0,0.0
David Scheinmann,4,4,4.0
David Schmoeller,4,0,2.24303
David Schultz,3.35714,3.35714,3.35714
David Schwimmer,3.38411,3.23831,3.332473333333333
"David Shapiro, Laurie Shapiro",3.45105,3.45105,3.45105
David Sheehan,3.25,3.25,3.25
David Sieveking,3.75,3.25,3.5
David Silverman,3.39488,3.39488,3.39488
David Sington,3.9,3.07143,3.5890025000000003
David Skynner,4,4,4.0
David Snyder,0,0,0.0
David Soldinger,2.25,2.25,2.25
