directedBy,Total_Movies_Released
Patrick Hoelck,1
Richard W. Munchkin,4
Alfonso Cuarón,8
Ray Müller,1
Paul Weiland,7
Victor Nunez,5
George Scribner,2
Keisuke Kinoshita,40
Al Pacino,3
Franklin J. Schaffner,15
Lewis Teague,12
André Charlot,1
Peter Bonerz,2
Eric Styles,6
George Marshall,44
Steven Maler,1
D. Ze'ev Gilad,1
"Franco Castellano, Giuseppe Moccia",1
Mark Wilkinson,1
Robert J. Flaherty,5
Robert Hamer,7
"Bill Melendez, Phil Roman",2
Martin Stellman,1
Philip Moeller,2
Marco Kreuzpaintner,4
Michael Haussman,1
Stephen Woolley,1
Lian Lunson,2
"Frank Capra, Anthony Veiller",1
Howard Alk,3
Artur Wiecek,1
Nicolai Albrecht,1
"Jean-Luc Godard, Jean-Pierre Gorin",1
Michael Findlay,4
Irena Salina,1
Jaime Humberto Hermosillo,7
Andrew Rossi,5
"Michel Brault, Pierre Perrault",1
Parmeet Sethi,1
Bernard Émond,5
Keith Behrman,2
Dante Lam,12
Guillaume Nicloux,9
Robert Taleghany,1
Taylor Sheridan,1
Patrick Bouchitey,1
"Yilmaz Erdogan, Ömer Faruk Sorak",1
Nick Lyon,15
Penelope Buitenhuis,7
Les Rose,2
Jesús Franco,40
Marja Kurikka,1
Luis Lucia,9
Clare Lewins,2
Stephen Frears,30
Wes Craven,22
David S. Ward,6
Ping He,2
Whit Stillman,5
"Benoît Lamy, Mweze Ngangura",1
Eric Rohmer,27
Ildikó Enyedi,4
Doug Pray,5
Mikael Salomon,14
Chris Roberts,1
Steve Carr,8
Francesco Rosi,19
Troy Duffy,2
Tom Boutross,1
"Mario Bava, Alfredo Leone",1
Luca Bercovici,5
Dominik Moll,5
Brian Sloan,1
Milton Katselas,4
Lew Landers,24
Saddiq Barmak,1
Jacques Tati,7
Amber Benson,1
Burton L. King,1
"Lloyd Bacon, Byron Haskin, Raoul Walsh",1
Alberto Sciamma,3
Hiroyuki Morita,1
Harvey Kahn,2
Jeff Margolis,2
"Banjong Pisanthanakun, Parkpoom Wongpoom",1
Julian Jarrold,13
Steven R. Monroe,29
Menhaj Huda,5
Dean Hamilton,1
Daniel Bitton,1
Michèle Ohayon,3
Tony Martin,1
Yann Arthus-Bertrand,5
Wes Llewellyn,3
"Peter Chan, Ji-woon Kim, Nonzee Nimibutr",1
Jeffery Scott Lando,1
Gaylen Ross,1
Tom McGrath,2
Roar Uthaug,5
Dorota Kedzierzawska,1
Ed Radtke,1
Julien Magnat,1
Patrick Hughes,4
"Paul Crowder, Jon Small",1
János Darvas,1
Adrián García Bogliano,5
Tommi Kainulainen,1
"Joe Barber, Mary Patel",1
Sheree Le Mon,1
"Joe Anderson, Sean McEwen",1
Mari Asato,4
"David Appleby, Allison Graham, Steven John Ross",1
Stephen Shimek,4
Terence Nance,2
Alexandros Avranas,3
Rocco DeVilliers,1
Jean-Pierre Gorin,3
Daniel Roby,5
Zion Myers,1
Mort Ransen,1
Robert Allan Ackerman,4
Manoel de Oliveira,20
Michael Covert,1
John Madden,12
William Roth,1
Sofia Coppola,9
Harald Reinl,16
Robert Greenwald,13
Courtney Solomon,3
Marino Girolami,40
Olaf Ittenbach,5
Ryu Murakami,1
"Tony Aboyantz, Jean Girault",1
J.T.S. Moore,1
Robert Wiene,3
"Michelangelo Antonioni, Wim Wenders",1
Gerardo Vera,2
Zev Berman,2
Irving Reis,10
Michael O'Herlihy,6
Christpher Crowe,1
Frederick Wiseman,34
Sylvio Tabet,1
Christopher Kulikowski,2
Philip Gröning,4
Aleksey Fedorchenko,3
"Noel Coward, David Lean",1
"W.S. Van Dyke, George Cukor",1
Howard McCain,2
Pieter Verhoeff,1
Kentarô Ôtani,3
Max Linder,6
Glenn McQuaid,1
Dan Pita,2
Jukka Kärkkäinen,2
Saara Cantell,7
Noel Clarke,3
Sidney Sheldon,2
William Monahan,2
Kyle Schickner,2
David Winkler,3
Johnny Martin,4
Mahmut Fazil Coskun,1
Siram Raghavan,1
Jean Grémillon,6
Peter Jones,2
R.G. Arledge,1
"Marco De Angelis, Antonio Di Trapani",1
Yasunori Ide,2
Václav Vorlícek,2
Shane Van Dyke,3
Petri Luukkainen,1
Dan Scanlon,2
Jim Larsen,1
Spencer McCall,1
"Ben Nott, Morgan O'Neill",1
Gregorio Rocha,1
Anthony Baxter,3
Joe Halderman,1
Larry Parr,2
Poull Brien,1
"Seth Holt, Michael Carreras",1
Benjamin Fingerhut,1
Philipp Kadelbach,2
Michael Matzdorff,1
Paul Katis,1
Onur Tukel,8
Fergus McDonell,1
Nino Manfredi,1
Denys de La Patellière,5
Richard Benjamin,16
Marc Rocco,4
Yves Angelo,1
Peter Sehr,4
Matthew Broderick,1
Tomás Gutiérrez Alea,5
"Ted Berman, Richard Rich",1
J. Todd Anderson,1
Michael Powell,12
Yvan Le Moine,1
Vicente Aranda,10
Gottfried Reinhardt,3
James Burrows,3
Michael Petroni,2
Josée Dayan,6
Paul F. Ryan,1
"Robert Capelli Jr., Jeffrey Wolf",1
James Ronald Whitney,2
Dick Maas,11
Lewis Allen,17
"Buster Keaton, John G. Blystone",1
Gisaburo Sugii,1
"Stephen Chow, Lik-Chi Lee",2
Tomas Alfredson,8
Kazuki Ohmori,3
Darren Lynn Bousman,13
Arch Nicholson,2
Larry Ferguson,1
"Robert Dornhelm, Sergio Mimica-Gezzan, Jeremy Podeswa, Timothy Van Patten, Michael W. Watkins, Simon Wincer",1
Wayne Coyne,1
Toa Fraser,4
Yesim Ustaoglu,2
Sheldon Wilson,16
"Josef von Sternberg, Jules Furthman",1
Shaun Monson,2
Albert Serra,4
Nahid Persson,1
Johan Renck,1
Te-Sheng Wei,3
Yosuke Fujita,1
Dorothy Arzner,8
Andrew Bellware,1
Peter Shin,1
Jason Winer,2
Don Barton,1
David Gelb,3
Atro Lahtela,1
"Howard Bretherton, William Keighley",2
Andy Warhol,16
Philippe de Chauveron,7
Benjamin Epps,1
Taylor Wong,6
Oriol Paulo,3
Jon S. Baird,3
Sini Anderson,1
Thomas Bradford,1
Eric Kissack,1
Hiroshi Ando,1
Jeong-Kuk Lee,1
Ela Thier,2
"James B. Brown, George C. Stoney",1
"James Isaac, David Blyth",1
Daniel B. Iske,1
"Norbert Caoili, Rob Portmann",1
Brian Larsen,2
Christopher Hampton,3
Paul Williams,4
Cheol-su Park,2
Wim Wenders,29
Matthew Harrison,2
Richard Shepard,8
Steven Kampmann,2
Alejandro Springall,2
Samuel Fuller,21
Richard Elfman,3
Harry Shearer,2
Carlos Carrera,3
Mark Moskowitz,1
Bryan Lewis,1
"William Dieterle, Max Reinhardt",1
David Saperstein,1
"Sammo Hung Kam-Bo, Corey Yuen",1
Vincente Aranda,1
"Petra Epperlein, Michael Tucker",3
Jessica Sharzer,1
Jack Gold,23
Dome Karukoski,8
Bryan Barber,1
"Gustave de Kervern, Benoît Delépine",4
William Greaves,2
Rodrigo Plá,3
Lynn Shelton,10
Steve Shill,2
Nelson Pereira dos Santos,6
Ferenc Rófusz,1
William Klein,5
William Wesley,2
Matthew Bonifacio,2
"Greta Gerwig, Joe Swanberg",1
Leslie Iwerks,4
Sook-Yin Lee,2
David Wellington,5
Betsy Blankenbaker,1
Michael Kruzan,2
Marcus Lenz,1
Markus Schleinzer,2
Alexandre Moors,2
Adam Fields,1
Michael Carreras,9
John Mills,1
Dhimiter Anagnosti,1
Robert Resnikoff,1
Russell Solberg,2
Celine Danhier,1
Charles S. Dubin,5
Michael Rosenbaum,1
Henri Cartier-Bresson,1
Leopold Grün,1
"Iain Forsyth, Jane Pollard",1
Koji Yamamura,3
"Peter Mortimer, Nick Rosen, Josh Lowell",1
Nadav Schirman,3
John Geddes,4
Tim Garrick,1
D.G. Brock,1
Simon Wells,4
James Foley,12
Wolfgang Petersen,13
Michael Ritchie,22
Steve Rash,14
George Hickenlooper,10
Zalman King,7
Stanley Kubrick,16
Archie Mayo,26
John McNaughton,13
Mark Herman,6
Jean-Pierre Jeunet,6
John Hughes,8
"Oz Scott, Michael Schultz",1
Deborah Hoffmann,1
Umberto Lenzi,63
Luchino Visconti,15
Ruud van Hemert,2
Lee Hirsch,2
Leslie Stevens,3
Dick Richards,7
Josh Aronson,1
Kasia Adamik,2
Marc Munden,7
José Ferrer,5
Marco Bechis,3
"Norman Foster, Orson Welles",1
Frank Sebastiano,1
"Stephen Quay, Timothy Quay",1
Hee-il Leesong,2
Alexander Kluge,4
Joko Anwar,7
Gary Yates,18
Gianni Di Gregorio,4
Bassam Kurdali,1
Jeremy Sims,4
Abhinay Deo,2
Damion Dietz,2
Lee Fulkerson,1
Rob Stitch,1
"Belisario Amador, Marcelo Estévez, Juan Oyharçabal, Eduardo Peduto",1
Bart Layton,2
Alexandre Courtès,1
Shun Nakahara,3
Jason Chaet,1
"Patrick Archibald, Jay Oliva, Frank Paur",1
Jenö Hodi,3
Desmond Hall,1
Chris Stapp,1
Dan Sallitt,3
Julian Pölsler,1
Lucy Mulloy,1
Babak Najafi,4
Harry Horner,4
William A. Levey,8
Matt Johnson,2
Glenn Gaylord,2
Marc Erlbaum,1
Matej Minac,1
Christophe Van Rompaey,2
Philip D'Antoni,1
Ryan Andrews,1
"Ryan Polito, Jake Szymanski",1
Sari Gilman,2
Darrell James Roodt,9
Alexandre O. Philippe,4
Karl DiPelino,1
Jefery Levy,4
John G. Young,2
Jerry Zaks,2
Jacques Doillon,10
Adrienne Shelly,3
Michael Chapman,2
John Guillermin,27
Kinka Usher,1
Rod Lurie,8
Ken Liotti,1
Neal Israel,10
Harry Sinclair,1
Michael Wadleigh,2
Nello Rossati,4
Ed Solomon,1
Joel Silberg,5
Todd Stephens,3
Bernhard Wicki,3
Robert Lewis,1
Ekachai Uekrongtham,4
"Howard Hawks, Richard Rosson, William Wyler",1
Matthew Leutwyler,6
Wolfgang Staudte,6
Stanley Nelson,6
Goran Dukic,1
Joshua Tickell,5
Arunas Matelis,2
Borja Cobeaga,3
Nabil Ayouch,5
Steven Hentges,1
Magnus Martens,2
Helmut Weiss,5
"Sean S. Cunningham, Joe Dante, John Gaeta, Monte Hellman, Ken Russell",1
"Ole Schell, Sara Ziff",1
Rosser Goodman,2
Jon Foy,1
Hafsteinn Gunnar Sigurðsson,2
Vincent Garenq,2
"Hiroshi Ishiodori, Yûji Moriyama",1
Takuji Kitamura,1
Pierre Étaix,6
"Don Argott, Sheena M. Joyce",1
Björn Runge,4
Johnny E. Jensen,1
Penny Woolcock,4
Todd Ahlberg,1
Frank Sabatella,2
Kenji Uchida,3
Shawn Christensen,3
Gustav Ucicky,3
Tuukka Temonen,4
Jane Simpson,1
John McCauley,1
Ahn Byeong-ki,3
Susanne Ofteringer,1
Danny Cannon,5
Matty Rich,2
Brett Thompson,2
Kurt Miller,1
Michel Blanc,2
Gabriele Salvatores,16
Lars von Trier,19
Patricia Birch,1
William Ryan,1
"Buster Keaton, Edward F. Cline",3
Jeremy Podeswa,3
Jean-Claude Lord,9
Todd Graff,3
"Howard Hawks, Arthur Rosson",1
Dino Risi,43
Joel Zeick,1
Andrew Bujalski,6
Ulf Malmros,8
"Nicholas Ray, Ida Lupino",1
John Penney,2
Laura Mañá,4
Alexandra Cassavetes,1
Toby Wilkins,2
Roland Mesa,1
"Guillaume Ivernel, Arthur Qwak",1
Kim Jorgensen,1
Michael Glawogger,7
Richard Oswald,6
Yoshishige Yoshida,9
Richard Ayoade,2
Erik White,2
Margot Benacerraf,1
Miguel Gomes,7
Jon Brewer,4
Yu-Hsun Chen,1
Jindrich Polák,1
Lucien Förstner,1
Noriyuki Abe,7
Peter Nicks,2
Colette Bothof,1
"Patrick Dempsey, Rocky Parker",1
Goldie Behl,1
"Martin E. Johnson, Truman H. Talley",1
David O'Malley,3
"Daniel Holechek, David M. Holechek",1
Erich Hörtnagl,1
"Ross Finkel, Trevor Martin",1
Urban Gad,2
Christopher Spencer,3
BJ McDonnell,1
Constantina Voulgaris,1
Brandon Christopher,2
Kongdej Jaturanrasamee,1
Justin McConnell,2
Kate Churchill,1
"Louis Soulanes, Zygmunt Sulistrowski",1
Ed Winfield,1
Tommy Golden,1
Oliver Stone,25
Milcho Manchevski,3
Michael Pressman,12
Paddy Breathnach,5
"Don Bluth, Gary Goldman, Dan Kuenster",2
Ted Post,15
Bob Clark,18
Alexander Korda,9
Dave Thomas,2
Ranald MacDougall,5
"George Sherman, John Wayne",1
Melissa Painter,3
Albert Magnoli,3
Marvin J. Chomsky,14
"John Cromwell, W.S. Van Dyke",1
Pyotr Buslov,5
Vincent Kok,5
"Carles Bosch, Josep Maria Domènech",1
Liz Friedlander,1
"Lloyd Bacon, Michael Curtiz",1
Paul Dinello,2
Jason Matzner,1
Frank Ryan,3
Scott Thomas,1
Andrew Lau Wai-keung,1
Joshua Seftel,1
Dave Filoni,1
J.-P. Valkeapää,2
Sergio Véjar,1
John Carter,2
Cassandra Nicolaou,1
Lee Friedlander,7
Yariv Mozer,3
"Joel Bergvall, Simon Sandquist",1
Aziz Mirza,2
Bret Wood,4
Danny Clinch,2
John Scheinfeld,5
"Richard Wallace, Lambert Hillyer",1
Adam Wingard,7
"Chris Johnston, James A. Seale",1
Bill Kalmenson,1
Stefan Jarl,3
"Nick August-Perna, Chris Dapkins",1
Paul Wheeler,6
Manuel Iborra,1
David Thompson,2
"R. Kelly, Jim Swaffield",2
Jong-bin Yun,1
Jan Ole Gerster,2
Michael Stillwater,1
Inés París,2
"Maria Demopoulos, Jodi Wille",1
Michael Morrissey,1
Brady Kiernan,1
Mark Baldo,3
Caradog W. James,3
Zhang Yimou,7
"Philippe Caza, René Laloux",1
Terry Ingram,25
Albrecht Viktor Blum,1
Nicholas Smith,1
S. Lee Pogostin,1
Hunter G. Williams,1
Walter Boholst,1
Andrew Cymek,7
Robert Leacock,1
Eva Sereny,1
"Peter Lord, Nick Park",1
Nigel Cole,8
Eddie Murphy,1
Lynne Ramsay,7
Robert Day,17
"Alex Smith, Andrew J. Smith",2
Marcel Camus,2
Thorold Dickinson,6
Goran Markovic,1
"Ross Kauffman, Zana Briski",1
Michael J. Bassett,4
"Tony Montana, Mark Brian Smith",1
Konrad Niewolski,3
"Jackie Chan, Sammo Hung Kam-Bo",1
Joel Bender,4
Kent Alterman,1
"Vardit Bilu, Dalia Hager",1
Martin Gero,1
"Steve James, Peter Gilbert",1
Chukiat Sakveerakul,2
Morten Lindberg,1
Scott Mann,3
José Iván Santiago,1
"Donatello Dubini, Fosco Dubini",1
Nandita Das,2
Fernando Colomo,11
Paul Scheuring,1
"Gloria LaMorte, Paola Mendoza",1
Gareth Edwards,4
Angelina Maccarone,3
Dev Benegal,1
Achim Bornhak,2
Andreas Öhman,3
Víctor García,4
"Yves Allégret, Rafael E. Portas",1
Blair Underwood,1
Larysa Kondracki,1
Tariq Tapa,1
Adrian Grunberg,2
David Heeley,1
"Auguste Lumière, Louis Lumière",2
Andrzej Munk,5
Casey Pugh,1
Chris Wedge,3
David Prior,5
"Alan Lowery, John Pilger",3
Levent Semerci,1
Dibakar Banerjee,5
"Måns Herngren, Felix Herngren, Hannes Holm, Hans Ingemansson",1
Glenn Withrow,2
Hiroko Tokita,1
Rasool Mollagholi Poor,1
"Chris Jones, Rocko Paolo, Vlastimir Stevanovic, Andrew T. Wright, Danny Matier, Shaun Bond, Douglas Caldow, Dan Cayzer, Djonny Chen, James Cookson, Deanna Dewey, Simon Foster, Michael Gilhooly, Andromeda Godfrey, Sherice Griffiths, Marc Grundy, Maureen Hascoet, Baz Hodson, Kingsley Hoskins, Diana Juhr-De Benedetti, Vance Malone, Evan Marlowe, Darren Newton, Luis Nieto, Phil Peel, Dan Price, Anil Rao, Carolina Rath, Matthew Real, Simon Reglar, Kawita Sareen, Eliza Schroeder, Mehul Shah, Rick Skyler, Melody Smith, Sebastian Solberg, Bertie Speirs, Roger B. Stillz, Deepak Verma, Kat Willott, Rodney Willott, Rowena Woolford, Mark S. Wright, Stare Yildirim",1
Jeff Chan,4
Philippe Lefebvre,1
Stacey Stewart Curtis,2
Jason Wulfsohn,1
Sean Olson,4
Jamie Mitchell,4
Desmond Nakano,2
Michael Tolkin,2
Norman Tokar,16
Alan J. Pakula,16
Alex Sichel,1
Jay Roach,14
Tim McCanlies,4
Tim Kirkman,3
Michael Oblowitz,10
Troy Beyer,2
Lance Mungia,2
Mark L. Lester,22
Mark Robson,32
Adam Bernstein,3
Fred F. Sears,40
"Ken Annakin, Andrew Marton, Bernhard Wicki, Darryl F. Zanuck",1
"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt",1
Douglas Sirk,29
Richard Kelly,3
Edoardo Ponti,3
Don Michael Paul,16
Jonathan Prince,1
Laurence Fishburne,1
Chin-yen Yee,1
"Stefan Avalos, Lance Weiler",1
"Vincente Minnelli, Fred Zinnemann",1
Robert Enrico,9
Zhou Sun,1
Sebastián Cordero,3
Luc Jacquet,4
Alan Brown,4
"Nicholas Ray, Guy Green",1
Pjer Zalica,2
"Andrew Wilson, Luke Wilson",1
Paolo Sorrentino,10
Fred Savage,1
John August,1
Chang-dong Lee,4
"Bill Guttentag, Dan Sturman",1
Todd Komarnicki,1
Ralph Thomas,27
Peter Cornwell,3
Richard Berry,4
"Nobuhiro Suwa, Hippolyte Girardot",1
Dominik Graf,4
Ryan Stevens Harris,1
George Nolfi,3
Sergiu Nicolaescu,16
Jennifer Yuh,2
Christopher Farah,1
Atsuya Uki,1
Marius Holst,2
"W.S. Van Dyke, Lionel Barrymore",1
Adam Smith,3
Aris Kaplanidis,1
Jon M. Chu,6
Ana Katz,2
Rakeysh Omprakash Mehra,3
Satsuo Yamamoto,4
Bradley R. Swirnoff,1
James Hunter,1
Wes Ball,4
Jérémy Clapin,3
"Anthony Kimmins, Alexander Korda",1
Serge Bozon,3
Paola di Florio,2
Paul Levine,2
John Stecenko,1
Kristian Pithie,1
Antonia Bird,7
Patrice Chéreau,8
Keith Gordon,5
Ringo Lam,13
Sean Mathias,1
Craig Lahiff,3
Lisa Cholodenko,5
Ron Oliver,33
Clay Borris,1
John Pieplow,1
Don Coscarelli,11
Eric Blakeney,1
Jamie Babbit,6
Stephen Daldry,9
Delmer Daves,27
George Butler,4
Josh Becker,5
Dziga Vertov,25
Ashutosh Gowariker,8
Gordon Parks Jr.,3
Ray Enright,40
"Mary Cybulski, John Tintori",1
"Benny Chan, Jackie Chan",1
Jaume Balagueró,7
Sergio Arau,1
Barbara Albert,4
Peter Watkins,11
David Slade,4
Charles Bail,5
Ed Stone,1
Xavier Gens,6
George Bamber,2
So Yong Kim,4
"Kátia Lund, João Moreira Salles",1
Ariane Mnouchkine,1
Nicholas Jasenovec,1
Hunter Weeks,2
Michael Stephenson,3
Eric Bricker,1
Aldo Lado,10
Yael Hersonski,1
Athina Rachel Tsangari,5
Jeff Conaway,1
"Mika Kemmo, Pasi Kemmo",1
Konstantin Bronzit,5
Bill Haney,4
Bartek Kulas,1
Waldemar Krzystek,3
John Francis Dillon,10
Ian Cheney,5
Stephen Surjik,1
Nick Murphy,2
John Kafka,2
"Masaki Dômoto, Yukio Mishima",1
Jan Nemec,1
Sean Stone,1
Alex Orwell,1
Daniel Ribeiro,3
Anna Frances Ewert,1
Robert Raphael Goodman,1
Giorgos Georgopoulos,2
Brice Mack,2
Bethel Buckalew,2
David Engelbach,1
Zachary Donohue,1
Grégory Levasseur,1
Axel Sand,2
Tadeusz Konwicki,5
"Gianni Franciolini, Alfredo Guarini, Roberto Rossellini, Luchino Visconti, Luigi Zampa",1
Enrique Gato,3
Dustin Marcellino,1
Paul Breuls,2
Yoshio Inoue,1
Erin Berry,1
Dennis Dimster,3
John Duigan,14
Mel Gibson,5
Todd Haynes,11
Danny Boyle,14
Jane Campion,9
Gilbert Adler,1
Trevor Nunn,6
Joshua Logan,9
Richard Marquand,7
Roberto Benabib,1
Chris Eyre,6
Steven Hilliard Stern,20
David Zucker,8
Sandra Goldbacher,3
Mario Bava,23
Aileen Ritchie,1
Dave Allen,1
Ray Kellogg,2
Karin Julsrud,1
Ernest Thompson,2
Dominique Deruddere,7
Carl Lerner,1
Hal Walker,9
Bill Rebane,7
Malcolm Mowbray,5
Jean-Xavier de Lestrade,3
"Eishy Hayata, Andrew Molina",1
C. Jay Cox,2
"Nickolas Perry, Harry Thomason",1
Yash Chopra,8
"Howard Hawks, Richard Rosson",1
Giulio Petroni,3
"Rob Epstein , Jeffrey Friedman",1
Laís Bodanzky,4
Alison Murray,2
Cristi Puiu,6
"Louise Osmond, Jerry Rothwell",1
Tudor Giurgiu,4
Hasan Karacadag,6
Per Åhlin,4
"Hsiao-Hsien Hou, Jia-hua Lao, Li-Yin Yang, Hsiao-Ming Hsu",1
Pablo Stoll,1
Srdan Golubovic,2
Astra Taylor,3
Omar Majeed,1
Derek Cianfrance,3
Brad J. Silverman,3
Roscoe Lever,1
"Aki Kaurismäki, Mika Kaurismäki",1
Jalmari Helander,3
"Otto Preminger, John M. Stahl",1
Aleksei Uchitel,4
Tanaz Eshaghian,2
Andrew Thomas Hunt,2
Maryam Keshavarz,2
"Laurence Rees,Tilman Remme",1
Anthony Caldarella,1
Mia Halme,1
"Ice-T, Andy Baybutt",1
Daniel Raim,6
Austin Jack Lynch,1
Erik Nelson,5
"Erik Gandini, Tarik Saleh",1
Aditya Datt,2
Chad Cohen,1
Peter Landesman,3
Gus Holwerda,2
Renzo Martens,1
David Mueller,2
Harald Sicheritz,5
"John Heyn, Jeff Krulik",1
Alain Gomis,1
Christopher Hatton,2
Joshua Zeman,1
Sebastian del Amo,1
Scott Mactavish,1
William Whitney,1
"Savage Steve Holland, Kevin Speckmaier",1
"Joe Boyd, John Head, Gary Weis",1
Reinhard Klooss,4
Anthony Michael Hall,1
Ivan Reitman,16
Darren Stein,4
James Komack,1
Mike Hodges,10
Don Weis,18
Deborah Brock,2
Mark Herrier,1
"Mark DiSalle, David Worth",1
Yoshiaki Kawajiri,8
Jon Purdy,3
Kantz,1
Thomas Michael Donnelly,2
Shinsuke Sato,11
Émile Gaudreault,3
Ari Kirschenbaum,1
Ash Baron-Cohen,1
William Phillips,3
Eddy Terstall,4
Matthew O'Callaghan,1
Jarno Laasala,1
"Victor Cook, Toby Shelton, Tad Stones",1
Chan-Wook Park,1
Guillaume Canet,6
Mark Atkins,20
Thor Freudenthal,4
Marguerite Duras,8
Quentin Lee,3
Jonathan Mossek,1
Josh Appignanesi,2
Juho Kuosmanen,2
Clay Westervelt,1
Federico Moccia,3
Mahsun Kirmizigül,2
Steve Webb,1
Jeremy Seifert,2
Simon Kaijser,2
"Crispian Mills, Chris Hopewell",1
Osamu Dezaki,7
"Li Zhang, Jackie Chan",1
Andrew Gernhard,1
Katya Bankowsky,1
Stephen Williams,2
Arnon Goldfinger,1
Melody Gilbert,1
Colin Teague,6
Alonso Mayo,1
Homi Adajania,4
Gérard Blain,8
Ryan Combs,3
Burt Topper,5
Frédéric Schoendoerffer,3
"Stephen Chow, Vincent Kok",1
Turner Clay,7
Stuart Connelly,2
Gary Fleder,9
Glenn Gordon Caron,4
Steven Spielberg,33
Catherine Cyran,7
Phil Joanou,9
Kevin Hooks,9
Theo van Gogh,4
Leon Gast,3
"Jonas Pate, Josh Pate",1
Jamie Uys,4
Bill Plympton,19
Leedham Bantock,1
Susan Seidelman,12
Álex de la Iglesia,16
Bradley Battersby,1
Liv Ullmann,5
Richard A. Colla,13
"Don Kempf, James D. Stern",1
Steve Carver,13
David Gordon Green,13
Rudy De Luca,1
Babak Payami,3
Mikael Ekman,4
Michael Benson,1
Jean-Pierre Denis,1
Louis J. Gasnier,6
Marc Singer,1
William Keighley,28
Diarmuid Lawrence,2
Takashi Koizumi,3
"Robert Florey, Joseph Stantley",1
Chris Terrio,1
"Helen Ahlsson, Lisa Munthe",1
Doug Lefler,3
"James Algar, Clyde Geronimi, Jack Kinney, H.C. Potter",1
Jacques Sarasin,1
Michael Keusch,10
"Joachim Rønning, Espen Sandberg",2
Oren Moverman,4
Tom Six,3
Timo Koivusalo,10
Andrew Paquin,1
"W.S. Van Dyke, Herbert Kline",1
Mathieu Amalric,3
David Kaplan,2
Matt Piedmont,2
Nacho Cerdà,2
Nicholas McCarthy,3
Lars Molin,2
Stefan Forbes,1
Robert Favreau,1
Antoine de Caunes,4
Alejandro Brugués,2
"Dylan Nelson, Dan Sturman",1
Tatsumi Kumashiro,3
Vernon Sewell,5
Jarret Tarnol,4
Elan Gale,1
"David Roach, Warwick Ross",1
Neil Mackay,1
Jan Hryniak,1
Edmond T. Gréville,5
Roberts Gannaway,1
"Andy Wachowski, Lana Wachowski",1
Christian Ditter,4
David Friedkin,2
Martin Duffy,1
Jay DiPietro,1
Douglas Buck,2
Ole Martin Hafsmo,1
Yaniv Raz,2
David Eady,1
Yimou Zhang,14
Jon Blair,3
Daisy von Scherler Mayer,5
Maurice Hunt,1
Ho Yim,2
William Shatner,6
Peter Baldwin,4
Christopher Guest,8
John Tatoulis,2
Chris Weitz,6
Alfred Sole,3
Richard Greenberg,2
Jacques Rivette,21
Joe Layton,2
Yasuzo Masumura,8
David Green,3
Josef Fares,4
"John Huston, Vincent Sherman",1
Claes Eriksson,4
"Henry Chalfant, Tony Silver",1
Peter Liapis,2
Charles Grosvenor,9
Brian Flemming,2
Gary Chapman,1
Richard Jobson,3
Billy Kent,2
Tomomi Mochizuki,1
Stephen J. Anderson,1
J.M. Kenny,2
Steve Conrad,1
Sergio Rezende,1
Buichi Saito,2
Roman Zaluski,4
"Daniel DelPurgatorio, Mike Smith",1
Paul Etheredge,1
"Steven Bognar, Julia Reichert",1
"Lucy Walker, Karen Harley, João Jardim",1
Martín Rejtman,4
Conor Horgan,2
Tom Provost,1
Janusz Majewski,3
"Nick Doob, Chris Hegedus",1
Weikai Huang,1
Declan Lowney,1
Sheldon Larry,9
"Brian Klugman, Lee Sternthal",1
Frank Martin,1
Rafi Pitts,2
"Tom Tykwer, Andy Wachowski, Lana Wachowski",1
Jerome Storm,1
Julian Farino,3
Mark N. Hopkins,1
Jeffrey Roth,1
Jon Burton,1
George Schaefer,8
"Cody Cameron, Kris Pearn",1
Ron Link,1
John Puglisi,1
"Larisa Shepitko, Andrey Smirnov",1
Daniel Patrick Carbone,1
Kei'ichi Sato,4
"Gianfranco Baldanello, Menahem Golan",1
Oliver Hockenhull,1
James D. Deck,2
Frank Borzage,47
David Mamet,11
S.R. Bindler,2
Gaspar Noé,8
Damien O'Donnell,3
Lech Kowalski,4
Juan Piquer Simón,7
Henry Levin,32
"Phillip J. Bartell, Alan Brown",1
Christopher Erskin,1
Stuart Millar,1
Andrew Gallerani,1
Heiner Carow,2
Steve Latshaw,1
"Eric Idle, Gary Weis",1
Craig Brewer,5
Mahamat-Saleh Haroun,6
Todd Robinson,3
Akiva Schaffer,5
Fredi M. Murer,3
Hao Ning,3
Breno Silveira,2
Jeff Lowell,1
Yoshimitsu Morita,4
"Darren Grodsky, Danny Jacobs",2
Hiroyuki Imaishi,4
"Simon Boyes, Adam Mason",1
Hoyt Yeatman,1
Aristomenis Tsirbas,1
Gitanjali Rao,2
Gregory Mackenzie,1
Ella Lemhagen,6
Miguel M. Delgado,33
Aleksandr Buravsky,1
Amat Escalante,4
"Malcolm St. Clair, Stan Laurel",1
Jack Messitt,1
"Tom Kingsley, Will Sharpe",1
Rashid Nugmanov,3
Stephen Fung,5
Esmé Lammers,2
Chad Crawford Kinkle,1
Jeremy Gardner,2
David Lister,3
Fredrik Bond,1
Gary Entin,2
Stephan Lamby,1
Pierre Laffargue,1
Burt Brinckerhoff,5
R.G. Springsteen,13
James Erskine,5
Nathan Clarke,1
Mario Costa,3
Giulio Paradisi,4
Armen Evrensel,1
Joel Soisson,8
